PRICEGROUP,SUBSIDIARYID,PRICERULEID,PRODUCTID
TONER-OTHER-ATTACHED,1,2,606569
INK-OTHER-PRIMARY,1,2,445579
TONER-OTHER-ATTACHED,1,2,606568
TONER-OTHER-ATTACHED,1,2,273495
TONER-OTHER-ATTACHED,1,2,532289
TONER-HP-PRIMARY,1,2,346566
LES-SEG-LAAG,1,1,380888
INK-OTHER-ATTACHED,1,2,730334
IPS-SEG-MID1,1,1,433966
TONER-OTHER-ATTACHED,1,2,325843
TONER-OTHER-ATTACHED,1,2,273505
LES-SEG-HOOG,1,2,616429
LES-SEG-HOOG,1,2,616428
LES-SEG-MID,1,2,315657
INK-OTHER-ATTACHED,1,2,273189
IPS-SEG-MID2,1,1,526071
LES-SEG-HOOG,1,2,616430
INK-HP-ATTACHED,1,2,52996
TONER-OTHER-PRIMARY,1,2,390458
INK-OTHER-ATTACHED,1,2,107702
INK-HP-ATTACHED,1,2,170190
TONER-OTHER-ATTACHED,1,2,569243
LES-SEG-MID,1,2,494325
INK-OTHER-ATTACHED,1,2,730351
INK-OTHER-ATTACHED,1,2,730338
TONER-HP-PRIMARY,1,2,289968
TONER-OTHER-ATTACHED,1,2,605611
INK-OTHER-ATTACHED,1,2,730350
INK-HP-PRIMARY,1,2,73055
INK-OTHER-PRIMARY,1,2,157460
IPS-SEG-HOOG,1,2,660264
INK-HP-ATTACHED,1,2,170192
TONER-OTHER-ATTACHED,1,2,605615
LES-SEG-MID,1,2,377848
INK-OTHER-ATTACHED,1,2,107708
LES-SEG-HOOG,1,2,616431
INK-HP-ATTACHED,1,2,332567
INK-OTHER-ATTACHED,1,2,524659
TONER-OTHER-PRIMARY,1,2,236768
INK-HP-PRIMARY,1,2,54692
INK-OTHER-ATTACHED,1,2,665650
INK-OTHER-ATTACHED,1,2,71627
TONER-OTHER-ATTACHED,1,2,325839
TONER-OTHER-ATTACHED,1,2,325838
INK-OTHER-ATTACHED,1,2,62737
INK-HP-PRIMARY,1,2,67265
TONER-OTHER-ATTACHED,1,2,532411
TONER-HP-PRIMARY,1,2,53127
INK-OTHER-ATTACHED,1,2,730340
LES-SEG-LAAG,1,1,500473
LES-SEG-HOOG,1,2,616416
TONER-HP-PRIMARY,1,2,62335
INK-OTHER-ATTACHED,1,2,233206
TONER-OTHER-ATTACHED,1,2,532419
TONER-OTHER-ATTACHED,1,2,532418
INK-OTHER-ATTACHED,1,2,673017
INK-OTHER-PRIMARY,1,2,66781
IPS-SEG-MID2,1,1,471142
TONER-OTHER-ATTACHED,1,2,633582
INK-HP-ATTACHED,1,2,724966
TONER-OTHER-ATTACHED,1,2,273499
IPS-SEG-HOOG,1,2,461584
INK-OTHER-ATTACHED,1,2,730349
TONER-OTHER-ATTACHED,1,2,532417
INK-HP-ATTACHED,1,2,170197
INK-HP-PRIMARY,1,2,170172
INK-OTHER-ATTACHED,1,2,730341
INK-HP-PRIMARY,1,2,170185
TONER-OTHER-PRIMARY,1,2,605851
INK-HP-PRIMARY,1,2,67266
INK-HP-PRIMARY,1,2,454522
INK-OTHER-ATTACHED,1,2,730344
INK-HP-ATTACHED,1,2,76476
INK-HP-ATTACHED,1,2,509774
INK-HP-ATTACHED,1,2,509776
INK-HP-ATTACHED,1,2,509775
INK-OTHER-ATTACHED,1,2,283150
TONER-OTHER-ATTACHED,1,2,605649
INK-OTHER-ATTACHED,1,2,665644
IPS-SEG-LAAG,1,1,380396
INK-OTHER-ATTACHED,1,2,660278
INK-HP-ATTACHED,1,2,332561
INK-OTHER-ATTACHED,1,2,559896
INK-OTHER-PRIMARY,1,2,61981
TONER-OTHER-ATTACHED,1,2,236551
INK-HP-ATTACHED,1,2,728531
INK-HP-ATTACHED,1,2,54694
INK-OTHER-ATTACHED,1,2,693932
TONER-HP-ATTACHED,1,2,519761
TONER-HP-ATTACHED,1,2,289967
INK-OTHER-ATTACHED,1,2,729797
INK-OTHER-ATTACHED,1,2,127522
TONER-OTHER-PRIMARY,1,2,369928
TONER-HP-ATTACHED,1,2,685862
TONER-HP-ATTACHED,1,2,685861
TONER-HP-ATTACHED,1,2,685867
TONER-OTHER-ATTACHED,1,2,605680
TONER-OTHER-ATTACHED,1,2,196359
INK-OTHER-PRIMARY,1,2,146879
LES-SEG-MID,1,2,62183
INK-HP-ATTACHED,1,2,76472
INK-OTHER-PRIMARY,1,2,61982
INK-OTHER-ATTACHED,1,2,273258
TONER-OTHER-ATTACHED,1,2,110147
IPS-BSINK,1,1,500580
TONER-OTHER-ATTACHED,1,2,236536
TONER-OTHER-PRIMARY,1,2,532391
TONER-HP-ATTACHED,1,2,289960
IPS-SEG-LAAG,1,1,729916
TONER-HP-PRIMARY,1,2,227389
TONER-OTHER-ATTACHED,1,2,606567
TONER-OTHER-ATTACHED,1,2,573284
TONER-OTHER-ATTACHED,1,2,236548
TONER-OTHER-ATTACHED,1,2,605737
LES-SEG-MID,1,2,461565
LES-SEG-HOOG,1,2,616333
INK-OTHER-ATTACHED,1,2,673018
INK-HP-PRIMARY,1,2,455759
INK-OTHER-ATTACHED,1,2,61714
LES-SEG-HOOG,1,2,316030
LES-SEG-HOOG,1,2,316035
SCAN-LAAG,1,2,510844
INK-HP-ATTACHED,1,2,454721
TONER-OTHER-ATTACHED,1,2,605739
INK-OTHER-PRIMARY,1,2,233105
LES-SEG-MID,1,2,315414
INK-HP-ATTACHED,1,2,410364
LES-SEG-HOOG,1,2,419410
SCAN-LAAG,1,2,361189
INK-OTHER-ATTACHED,1,2,524720
LES-SEG-HOOG,1,2,420189
LES-SEG-MID,1,2,500485
INK-HP-ATTACHED,1,2,59817
INK-HP-ATTACHED,1,2,332602
INK-HP-ATTACHED,1,2,332614
LES-SEG-HOOG,1,2,436819
TONER-OTHER-ATTACHED,1,2,605740
INK-HP-ATTACHED,1,2,135545
TONER-HP-ATTACHED,1,2,685856
TONER-OTHER-ATTACHED,1,2,235580
INK-HP-ATTACHED,1,2,509755
INK-HP-ATTACHED,1,2,509770
IPS-SEG-MID1,1,1,438334
INK-HP-ATTACHED,1,2,54695
TONER-OTHER-ATTACHED,1,2,633574
TONER-OTHER-ATTACHED,1,2,633580
TONER-OTHER-ATTACHED,1,2,605827
LES-SEG-MID,1,2,142224
TONER-HP-ATTACHED,1,2,80449
INK-OTHER-ATTACHED,1,2,532319
INK-OTHER-PRIMARY,1,2,61717
TONER-OTHER-ATTACHED,1,2,498283
TONER-OTHER-ATTACHED,1,2,125370
INK-HP-PRIMARY,1,2,468619
IPS-SEG-MID2,1,1,665879
TONER-HP-ATTACHED,1,2,685858
TONER-OTHER-ATTACHED,1,2,532473
INK-OTHER-ATTACHED,1,2,283234
TONER-HP-ATTACHED,1,2,174567
TONER-HP-ATTACHED,1,2,80450
TONER-HP-ATTACHED,1,2,80448
INK-OTHER-PRIMARY,1,2,191804
INK-HP-ATTACHED,1,2,59825
INK-HP-ATTACHED,1,2,169986
SCAN-LAAG,1,2,510850
INK-OTHER-ATTACHED,1,2,673411
INK-HP-PRIMARY,1,2,54693
INK-OTHER-ATTACHED,1,2,441045
INK-OTHER-ATTACHED,1,2,451768
LES-SEG-MID,1,2,629498
LES-SEG-MID,1,2,496200
TONER-OTHER-PRIMARY,1,2,116934
TONER-OTHER-ATTACHED,1,2,236559
SCAN-LAAG,1,2,352309
LES-SEG-MID,1,2,569356
INK-OTHER-PRIMARY,1,2,673021
INK-HP-ATTACHED,1,2,76470
LES-SEG-MID,1,2,142206
TONER-OTHER-ATTACHED,1,2,532398
INK-OTHER-PRIMARY,1,2,273245
